date,timeStamp,rawPd1,rawPd2,rosa1530pd,ntc_1530,ntc_1310,opCode,cur_1530,cur_1310,metadata,app_session_counter,device_config,intpl_ntc_1530,intpl_ntc_1310,intpl_rawPd1,intpl_rawPd2,timestamp
2025-03-26 06:36:57.197330236+01:00,2025-03-26 05:36:57.197330236,-0.3388292001282215,-0.1180654904920447,-0.0519776406261492,,,,0.0868,0.0657,,,,47.36246,24.55789,-0.339,-0.118,2025-03-26 05:36:57.197330236
2025-03-26 06:36:57.217533112+01:00,2025-03-26 05:36:57.217533112,-0.3412759710879291,-0.1180237672357281,-0.0517463745768516,,,,0.0868,0.0657,,,,47.38858,24.56686,-0.341,-0.118,2025-03-26 05:36:57.217533112
2025-03-26 06:36:57.237746716+01:00,2025-03-26 05:36:57.237746716,-0.3422874620303466,-0.1180172107240212,-0.0519234003929377,,,,0.0868,0.0657,,,,47.41472,24.57584,-0.342,-0.118,2025-03-26 05:36:57.237746716
2025-03-26 06:36:57.257959604+01:00,2025-03-26 05:36:57.257959604,-0.3419697692358219,-0.1179736993281482,-0.0517439903907764,,,,0.0868,0.0657,,,,47.44085,24.58482,-0.342,-0.118,2025-03-26 05:36:57.257959604
2025-03-26 06:36:57.278225660+01:00,2025-03-26 05:36:57.278225660,-0.3418136050478941,-0.1187342546861475,-0.0519537987653969,,,,0.0868,0.0657,,,,47.46705,24.59382,-0.342,-0.119,2025-03-26 05:36:57.278225660
2025-03-26 06:36:57.298459291+01:00,2025-03-26 05:36:57.298459291,-0.3417927434197358,-0.1181715867723926,-0.0514757694573127,,,,0.0868,0.0657,,,,47.49321,24.6028,-0.342,-0.118,2025-03-26 05:36:57.298459291
2025-03-26 06:36:57.318673849+01:00,2025-03-26 05:36:57.318673849,-0.3448415213634397,-0.1181304595625948,-0.0515884222493675,,,,0.0868,0.0657,,,,47.51934,24.61178,-0.345,-0.118,2025-03-26 05:36:57.318673849
2025-03-26 06:36:57.338890076+01:00,2025-03-26 05:36:57.338890076,-0.3474450525575939,-0.1182210586334536,-0.0513589443396263,,,,0.0868,0.0657,,,,47.54548,24.62076,-0.347,-0.118,2025-03-26 05:36:57.338890076
2025-03-26 06:36:57.359102964+01:00,2025-03-26 05:36:57.359102964,-0.3498417556097216,-0.1183545730536667,-0.0507777989837883,,,,0.0868,0.0657,,,,47.57161,24.62974,-0.35,-0.118,2025-03-26 05:36:57.359102964
2025-03-26 06:36:57.395218372+01:00,2025-03-26 05:36:57.395218372,-0.3515369119092121,-0.133315936722271,-0.0505262673528513,,,,0.0868,0.0657,,,,47.61831,24.64578,-0.352,-0.133,2025-03-26 05:36:57.395218372
